,Retorno,Risco,Sharpe,PETZ3.SA Peso,VIVA3.SA Peso,VIIA3.SA Peso,AZUL4.SA Peso
0,-0.525319415228804,0.5208221711510364,-1.0086348936870881,0.598,0.327,0.013,0.062
1,-0.3623030122209695,0.5280777493123584,-0.6860789205618792,0.339,0.297,0.075,0.29
2,-0.36791941902061676,0.5237854825711775,-0.7024238572145228,0.337,0.302,0.246,0.116
3,-0.27092822165411146,0.5139615177853083,-0.5271371732684536,0.216,0.37,0.175,0.239
4,-0.21430091530123468,0.5526176239723353,-0.3877924011195902,0.106,0.355,0.466,0.073
5,-0.3250629757839667,0.522243230541363,-0.6224359776707932,0.285,0.318,0.137,0.26
6,-0.248834585570261,0.5339285006487497,-0.466044770541214,0.179,0.349,0.136,0.337
7,-0.09890732722606614,0.5009062825082552,-0.19745675125253814,0.001,0.557,0.326,0.116
8,-0.36815607207863005,0.5973240528859189,-0.6163422857323695,0.288,0.113,0.165,0.434
9,-0.4033560303171321,0.5408731191151354,-0.7457498183252659,0.393,0.258,0.024,0.326
10,-0.45332771669051924,0.5209772423297017,-0.8701487893469821,0.474,0.313,0.177,0.036
11,-0.38421707419776724,0.6287011724806645,-0.6111282927654851,0.263,0.008,0.43,0.299
12,-0.30724731072812894,0.49684680041194534,-0.618394463793234,0.29,0.455,0.251,0.005
13,-0.24216895085715062,0.5146739661656274,-0.470528852782925,0.171,0.385,0.266,0.177
14,-0.5046936712446959,0.5875631202573574,-0.8589607717782491,0.469,0.05,0.251,0.231
15,-0.2460433487423901,0.5227400919894483,-0.4706800808141507,0.192,0.393,0.078,0.337
16,-0.3057389441454106,0.5818756838005846,-0.5254368805179197,0.213,0.185,0.194,0.408
17,-0.38543137266768646,0.5637019596223243,-0.6837502798924494,0.332,0.173,0.159,0.336
18,-0.1855634255012722,0.625909181451844,-0.29647020845874744,0.037,0.208,0.222,0.532
19,-0.35808884112642947,0.5341500222772427,-0.6703900144004276,0.311,0.269,0.268,0.153
20,-0.13266362383946323,0.6139744335228446,-0.21607353107240923,0.001,0.33,0.103,0.566
21,-0.4028523673229349,0.5468118423647784,-0.7367294124076265,0.373,0.268,0.346,0.013
22,-0.3484544305820536,0.6273508204602293,-0.5554379132339778,0.236,0.143,0.615,0.005
23,-0.26065125553580115,0.48757925673775854,-0.5345823308393753,0.246,0.489,0.022,0.243
24,-0.4357394998677436,0.49115418771890407,-0.8871745589536228,0.501,0.458,0.014,0.028
25,-0.3940820768550467,0.5878827760931657,-0.6703412531898942,0.319,0.156,0.461,0.064
26,-0.23864986435751281,0.6736171242152692,-0.3542811721651645,0.048,0.029,0.452,0.472
27,-0.1437643239190279,0.5378936380835153,-0.26727277242254077,0.023,0.405,0.342,0.23
28,-0.11915436079671822,0.5397358024676111,-0.22076423363422984,0.002,0.495,0.489,0.014
29,-0.3617093630958333,0.5125790483916605,-0.7056655246264611,0.343,0.328,0.139,0.19
30,-0.3387692478414203,0.5227648860200662,-0.6480336703954074,0.296,0.316,0.267,0.121
31,-0.33812117865318003,0.560487050311573,-0.6032631413432649,0.26,0.197,0.27,0.273
32,-0.35384288536084485,0.5818517587582511,-0.6081323636728236,0.261,0.155,0.415,0.17
33,-0.2008126901826138,0.5009071475214372,-0.4008980330511648,0.131,0.457,0.244,0.168
34,-0.47327212977076105,0.5374885054258841,-0.8805251181990569,0.478,0.218,0.152,0.152
35,-0.3315902050449483,0.5790426474412835,-0.5726524747532908,0.241,0.215,0.481,0.062
36,-0.2749658358924358,0.5495112799855132,-0.5003825142582783,0.184,0.267,0.289,0.26
37,-0.3523794374695191,0.5564813203023034,-0.633227791506267,0.286,0.201,0.222,0.291
38,-0.39280138844660933,0.4978823448458191,-0.788944200397886,0.415,0.388,0.03,0.167
39,-0.4663867285879833,0.5660790310270287,-0.823889780446071,0.44,0.166,0.33,0.064
40,-0.19626049633054068,0.5544314360443136,-0.353985152304485,0.077,0.345,0.446,0.133
41,-0.3347941192785483,0.509346106140194,-0.6573018135263775,0.305,0.356,0.224,0.114
42,-0.26847616979594485,0.5588436873388903,-0.48041371116560055,0.172,0.253,0.258,0.318
43,-0.2841003134069497,0.46689745921443465,-0.6084854560677087,0.293,0.542,0.077,0.088
44,-0.35681722702904195,0.530268527477519,-0.672899122877266,0.318,0.272,0.161,0.248
45,-0.33563307291584543,0.5428715288090262,-0.6182550660782874,0.271,0.261,0.327,0.141
46,-0.33471403258553833,0.4954913234912293,-0.6755194626358842,0.323,0.402,0.153,0.122
47,-0.46361432698521743,0.5164584030243453,-0.8976798988463028,0.495,0.308,0.073,0.125
48,-0.49868542452066084,0.5982333531380359,-0.8335968262297714,0.466,0.038,0.118,0.378
49,-0.19552770785861143,0.6121562213264713,-0.3194081854382295,0.029,0.208,0.552,0.21
50,-0.18636974782817706,0.5614804156078139,-0.33192564272509495,0.103,0.388,0.044,0.465
51,-0.2592716833048592,0.5925332948921399,-0.43756475043660625,0.126,0.176,0.404,0.293
52,-0.2301091676681127,0.6470800405251795,-0.35561159865378134,0.08,0.127,0.228,0.564
53,-0.38010115442835773,0.5395138472520831,-0.7045252987746927,0.348,0.299,0.343,0.01
54,-0.27530399624994034,0.48397045879162015,-0.5688446293546939,0.266,0.485,0.035,0.214
55,-0.3612942600022036,0.5207497140606653,-0.6937963675196839,0.353,0.335,0.016,0.296
56,-0.2509907675651375,0.5074489570808486,-0.49461283556278696,0.192,0.398,0.21,0.199
57,-0.35893706261661956,0.5398120692527786,-0.6649296728646125,0.307,0.245,0.243,0.206
58,-0.24455690002943362,0.4965964441357686,-0.4924660716309362,0.213,0.466,0.051,0.27
59,-0.2557851428799149,0.5647153432577007,-0.45294526868059715,0.153,0.308,0.487,0.053
60,-0.29934165553487824,0.5271791468712482,-0.5678177092387643,0.244,0.363,0.358,0.035
61,-0.30605750582714525,0.5275948730248218,-0.5800994692621779,0.246,0.325,0.315,0.114
