,Retorno,Risco,Sharpe,SAPR4.SA Peso,ITSA4.SA Peso,LIGT3.SA Peso,MXRF11.SA Peso
0,0.07966772940817787,0.12453424812329637,0.6397254619412167,0.104,0.355,0.039,0.502
1,0.1766661406822493,0.08431358738903455,2.095346030848946,0.108,0.082,0.024,0.787
2,-0.21960222917217562,0.2362883465782463,-0.9293823938094843,0.068,0.203,0.296,0.433
3,-0.11793991671852504,0.19064368481462338,-0.6186405641141827,0.157,0.234,0.2,0.409
4,-0.02344566670524238,0.17227430910027894,-0.1360949687024716,0.36,0.318,0.079,0.243
5,-0.38011135998478984,0.31480885392251573,-1.2074354175513344,0.353,0.134,0.38,0.134
6,-0.24096643457231726,0.2494517639087166,-0.9659840876510922,0.052,0.335,0.287,0.326
7,-0.2310490620804137,0.24601169226285272,-0.9391791908554814,0.346,0.151,0.268,0.234
8,-0.4472445633084461,0.34457909121898805,-1.2979445784892727,0.276,0.114,0.446,0.163
9,-0.11819281868986141,0.19601045212658635,-0.6029924292686739,0.332,0.126,0.193,0.349
